num_sorteo;fecha_sorteo;num_1;num_2;num_3;num_4;num_5;num_6;sum_num;promedio;minimo;maximo;rango;desviacion_estandar;mediana;dia_semana;mes_sorteo;año_sorteo
1;27/01/2001;1;2;5;20;27;33;88;14,66666667;1;33;32;13,83714807;12,5;27;1;2001
2;3/02/2001;1;2;11;15;32;34;95;15,83333333;1;34;33;14,3306199;13;3;2;2001
3;10/02/2001;11;13;27;30;32;39;152;25,33333333;11;39;28;11,07549848;28,5;10;2;2001
4;17/02/2001;15;20;21;29;32;44;161;26,83333333;15;44;29;10,45785191;25;17;2;2001
5;24/02/2001;3;6;16;22;38;44;129;21,5;3;44;41;16,68232598;19;24;2;2001
6;3/03/2001;17;21;26;31;39;40;174;29;17;40;23;9,402127419;28,5;3;3;2001
7;10/03/2001;1;12;22;29;31;33;128;21,33333333;1;33;32;12,56450026;25,5;10;3;2001
8;17/03/2001;5;14;18;38;40;45;160;26,66666667;5;45;40;16,41543989;28;17;3;2001
9;24/03/2001;4;19;25;28;39;41;156;26;4;41;37;13,65283853;26,5;24;3;2001
10;31/03/2001;1;6;13;18;25;41;104;17,33333333;1;41;40;14,37590577;15,5;31;3;2001
11;7/04/2001;1;3;15;18;27;37;101;16,83333333;1;37;36;13,83353414;16,5;7;4;2001
12;14/04/2001;3;6;13;24;29;31;106;17,66666667;3;31;28;11,99444316;18,5;14;4;2001
13;21/04/2001;4;14;15;17;21;25;96;16;4;25;21;7,155417528;16;21;4;2001
14;28/04/2001;1;10;19;33;36;40;139;23,16666667;1;40;39;15,6641842;26;28;4;2001
15;5/05/2001;5;10;21;26;34;40;136;22,66666667;5;40;35;13,5302131;23,5;5;5;2001
16;12/05/2001;4;6;15;20;32;43;120;20;4;43;39;15,16575089;17,5;12;5;2001
17;19/05/2001;1;18;19;21;39;43;141;23,5;1;43;42;15,38505769;20;19;5;2001
18;26/05/2001;17;24;30;38;43;44;196;32,66666667;17;44;27;10,87504789;34;26;5;2001
19;2/06/2001;8;15;23;29;30;37;142;23,66666667;8;37;29;10,65207335;26;2;6;2001
